Law Firm,Attorney Names,Attorney Phone,Attorney Practice Areas,Law Firm Address,Lawfirm Phone,Lawfirm State,Lawfirm County
"Agreement Resources, LLC",Stephen M Linsky,,,,,,
Akin Gump Strauss Hauer & Feld LLP,Jaime L Fonalledas,,,,,,
Alan R Goodman,Alan R Goodman,,,,,,
"Alekman Ditusa, LLC","Laura Mangini,Ryan Edward Alekman",,,,,,
"Allen Agnitti, Esquire",Allen Henry Agnitti,,,,,,
"Allison, Angier, & Mchale LLP","Michael A. McHale, Donald James Allison",,,,,,
"Allyn & Ball, PC",Shawn Patrick Allyn,,,,,,
American International College; Holyoke Com. Coll.,Corinne A Rock,,,,,,
"Andersen & Lee, P.C.",Cynthia Lee Andersen,,,,,,
Andrew Bruce Mcamis,Andrew Bruce McAmis,,,,,,
"Andrus & Wyllie, P.C.",Erin C Wyllie,,,,,,
Angelides & South,Frances Johnson South,,,,,,
"Annino, Draper & Moore, PC",Calvin W Annino Jr,,,,,,
"Arvanitis Phelan & Molta, PC","Jennifer Arvanitis,Linda A Molta-Tetrault,Michael L Phelan Jr",,,,,,
Attorney & Counselor At Law,Charles J DiMare,,,,,,
Attorney Barbara J Sweeney,Barbara J Sweeney,,,,,,
Attorney Bonnie G Allen,Bonnie G Allen,,,,,,
Attorney Bruce Edward Colton,Bruce Edward Colton,,,,,,
Attorney Bryan K. Clauson,Bryan K. Clauson,,,,,,
Attorney Christine A. Charron,Christine A. Charron,,,,,,
Attorney Clarence J Bennett,Clarence J Bennett,,,,,,
Attorney Cristina M. Ianello,Cristina M. Ianello,,,,,,
Attorney Dale E. Bass,Dale E. Bass,,,,,,
Attorney David Meir Hirschhorn,David Meir Hirschhorn,,,,,,
Attorney David W. Pritchard,David W Pritchard,,,,,,
Attorney David Walczak,David Walczak,,,,,,
Attorney Diane S. Sievers,Diane S Sievers,,,,,,
Attorney Donna Diamond Nardi,Donna Diamond Nardi,,,,,,
Attorney Dorene A Archambault,Dorene A Archambault,,,,,,
Attorney E. Mary Apgar,Eleanor Mary Apgar,,,,,,
Attorney Edward J Stapleton,Edward James Stapleton,,,,,,
Attorney Gary J Scagliarini,Gary J Scagliarini,,,,,,
Attorney General's Office,Jennifer Kay Zalnasky,,,,,,
Attorney Henry C G Cropsey,Henry C G Cropsey,,,,,,
Attorney Jane E Crosby,Jane E Crosby,,,,,,
Attorney Joaquim F Silva,Joaquim F Silva,,,,,,
"Attorney John J. Leahy, Jr.",John J. Leahy Jr.,,,,,,
Attorney John M. Corridan,John M. Corridan,,,,,,
Attorney Julia Rueschemeyer,Julia Yael Rueschemeyer,,Divorce Mediation,,,,
Attorney Karen Scharfenberg-Ferrarone,Karen Scharfenberg-Ferrarone,,,,,,
Attorney Kelly Ann Burgess,Kelly Ann Burgess,,,,,,
Attorney Kenneth Lieberman,Kenneth Lieberman,,,,,,
Attorney Laura Chrismer Edmonds,Laura Chrismer Edmonds,,,,,,
Attorney Laurence J Cohen,Laurence J Cohen,,,,,,
"Attorney Lawrence J Pilon, jr",Lawrence Joseph Pilon Jr.,,,,,,
Attorney Lee Mark Watkins,Lee Mark Watkins,,,,,,
Attorney Lisa M. Beauvais,Lisa M. Beauvais,,,,,,
Attorney Margaret G Shea,Margaret G Shea,,,,,,
Attorney Marjorie M. Dunlap,Marjorie M. Dunlap,,,,,,
Attorney Maureen Ryan-Wise,Maureen Ryan-Wise,,,,,,
Attorney Melissa Erica Bodanza,Melissa Erica Bodanza,,,,,,
Attorney Michael J Serduck,Michael J Serduck,,,,,,
Attorney Michael R Harty,Michael R Harty,,,,,,
Attorney Michael Z. Edelstein,Michael Z. Edelstein,,,,,,
Attorney Paul Dratfield,Paul Dratfield,,,,,,
Attorney Richard C Morrissey,Richard C Morrissey,,,,,,
Attorney Rina M Miller,Rina M. Miller,,,,,,
Attorney Robert Tassinari,Robert Tassinari,,,,,,
Attorney Ronald Morace,Ronald R Morace,,,,,,
Attorney Scott E. Skolnick,Scott Evans Skolnick,,,,,,
Attorney Sean Thomas Sullivan,Sean Thomas Sullivan,,,,,,
Attorney Seunghee Cha,Seunghee Cha,,,,,,
Attorney Stanley Robert Light,Stanley Robert Light,,,,,,
Attorney Vincent J McCaughey,Vincent J McCaughey,,,,,,
Attorney Wheatly R. Gulmi-Landy,Wheatly R. Gulmi-Landy,,,,,,
Attorney William B Tobey,William B Tobey,,,,,,
"Bacon & Wilson, PC","Gary G Breton,Gary L Fialky,Mark J Beglane,Michael J Coyne, Richard A Corbert,Lisa Louise Halbert,Mark Allan Tanner,Philip R Smith,Benjamin Michael Coyle,Donna L Wexler,Elizabeth Ann Ginter,Hyman G Darling,Julie Ann Dialessi-Lafley,Justin Howard Dion,Kevin Vincent Maltby,Melissa R. Gillis,Michael B Katz,Paul H Rothschild,Stephen N Krevalin,Valerie Jeanne Vignaux,Thomas R. Reidy,Daniel Mark McKellick,Daniel,Patrick Morrissey,Colleen A. Monroe,Laura Marie McCarthy,Alfred J Albano,Jonathan A. Breton,Adam John Basch,Gina M. Barry,Kathryn S Crouss,Spencer Andrew Stone,Francis R Mirkin,Kenneth J Albano",,,,,,
"Cherie L. McKenna, Attorney at Law",,,,,,,
Chicago Title Insurance Co.`,,,,,,,
Children and Family Law Program,,,,,,,
Christopher F. Cava,,,,,,,
City of Springfield Law Department,,,,,,,
City of Westfield,,,,,,,
"Colleen C. Currie, Attorney-At-Law",,,,,,,
Committee for Public Counsel Services,,,,,,,
Commonwealth of Ma Department of Dcf,,,,,,,
Community Legal Aid,,,,,,,
"Connor, Morneau & Olin, LLP",,,,,,,
Conway & Conway P.C.,,,,,,,
"Cooley, Shrair P.C.",,,,,,,
"Corash, Zurn & Sharp, LLP",,,,,,,
Corlis Law,,,,,,,
"Corridan Law, LLC",,,,,,,
Corrona,,,,,,,
Costello & Leiter PC,,,,,,,
CPCS - Public Defender Division,,,,,,,
Cranston & Cranston P.C.,,,,,,,
"Crevier & Ryan, LLP",,,,,,,
Curran & Berger LLP,,,,,,,
"Daly Law, P.C.",,,,,,,
"Daniel and Fontaine, LLC",,,,,,,
Daniel Karpman Attorney at Law,,,,,,,
David A. Ladizki PC,,,,,,,
"David G. Carlson, Attorney at Law",,,,,,,
"David G. Street, P.C.",,,,,,,
"David Levenstein Law, P.C.",,,,,,,
Dcf Legal,,,,,,,
"Deborah K. Robes, Attorney At Law",,,,,,,
Denner Pellegrino LLP,,,,,,,
Dennis Tully Attorney At Law,,,,,,,
Department of Children and Families Legal,,,,,,,
Dept of Industrial Accidents,,,,,,,
Dept of Veterans Affairs Office of General Counsel,,,,,,,
Deutsch Levy & Engel Chartered,,,,,,,
"Dinsmore Stark, Attorneys At Law",,,,,,,
Disanti Law Offices,,,,,,,
"Divorce Mediation Group, Inc.",,,,,,,
"Doherty, Wallace, Pillsbury, & Murphy",,,,,,,
Donahue & Cross PC,,,,,,,
DOUGLAS R. PETERSON,,,,,,,
Doyle & Mansfield,,,,,,,
"Dunn & Phillips, P.C.",,,,,,,
Dwyer & Sanderson,,,,,,,
Edwards Angell Palmer & Dodge,,,,,,,
"Egan, Flanagan & Cohen, P.C.",,,,,,,
Ellis & Winters,,,,,,,
Employment Law Center of Western Massachusetts,,,,,,,
"Ernest Senecal, Attorney At Law",,,,,,,
Etheredge & Steuer PC,,,,,,,
"EvansCutler, Attorneys",,,,,,,
"Facchini & Facchini, P.C.",,,,,,,
Facchini Law Firm,,,,,,,
"Farber & Lindley, LLC",,,,,,,
"Fein, Emond & Applebaum, P.C.",,,,,,,
Felicity Hardee Law Practice,,,,,,,
Ferriter & Ferriter LLC,,,,,,,
Fierst Kane & Bloomberg LLP,,,,,,,
"Fierst, Pucci & Kane LLP",,,,,,,
Fitzgerald Attorneys At Law PC,,,,,,,
Fitzgerald O'Brien Robin & Shapiro,,,,,,,
FogartyLegalServices,,,,,,,
Foley Hoag LLP,,,,,,,
"Ford, Quinn & Desmarais, LLC",,,,,,,
"Fowler, White, Burnett, P.A.",,,,,,,
"Frank & Ryan, P.A.",,,,,,,
"Fratar, Kern & Kelly",,,,,,,
Gabrielle Hartley Law and Mediation,,,,,,,
"Gelinas & Lefebvre, P.C.",,,,,,,
"George F. Kelly, Esq.",,,,,,,
"Gerard, Ghazey & Bates, PC",,,,,,,
Gina M. Letellier,,,,,,,
Gioscia & Gioscia,,,,,,,
Gogel & Gogel,,,,,,,
"Goldsmith, Katz & Argenio, P.C.",,,,,,,
Goodhines Law Offices,,,,,,,
"Gove Law Office, LLC",,,,,,,
"Green Miles Lipton, LLP",,,,,,,
"Grogan Tuccillo & Vanderleeden, LLP",,,,,,,
Hampden County District Attorney's Office,,,,,,,
Hampden County Sheriff's Department,,,,,,,
Hampden District Attorney's Office,,,,,,,
"Hampden Superior Court, Hall of Justice",,,,,,,
Hap Inc.,,,,,,,
Heather-Jill Williams Family Law P.C.,,,,,,,
"Heisler,Feldman,Mccormick & Garrow PC",,,,,,,
"Hendel & Collins, P.C.",,,,,,,
"Holland & Bonzagni, P.C.",,,,,,,
Immigration Consultants,,,,,,,
"Iris Diamond Linson, Esq.",,,,,,,
Iso New England Inc.,,,,,,,
"J.M. Discenza Law, LLC",,,,,,,
"J.M. O'Brien, CPA",,,,,,,
"Jackson & Torrone, PC",,,,,,,
Jacobson & Thompson PC,,,,,,,
James B. Winston,,,,,,,
James F. Gregory,,,,,,,
James J. Bregianes,,,,,,,
"Jankowski & Spencer, P.C.",,,,,,,
"Jared Olanoff, Attorney at Law",,,,,,,
Jekanowski Law Offices,,,,,,,
Jenny A. Daniell,,,,,,,
"Jessica A. Levy, Esq",,,,,,,
"Jessica L. Berrien, Attorney at Law, LLC",,,,,,,
Joan Paul,,,,,,,
"Joanna Cobleigh, Attorney at Law",,,,,,,
John A. Rasmussen,,,,,,,
"John D. McNally, P.C.",,,,,,,
"John F. Dalsey, Attorney at Law",,,,,,,
John J. Bandeian III Attorney At Law,,,,,,,
John P Dacruz PC,,,,,,,
"John R. Roden, Attorney At Law",,,,,,,
"Johnson, Sclafani & Moriarty",,,,,,,
Joseph P Dusel LLC,,,,,,,
K.Mara Law,,,,,,,
Kathleen A. Cavanaugh Attorney At Law,,,,,,,
KC LAW,,,,,,,
"Kevin J. Kelley, Esq.",,,,,,,
"Keyes and Donnellan, P.C.",,,,,,,
"Kristi A. Bodin, Esq.",,,,,,,
Kyle R. Guelcher Attorney At Law,,,,,,,
"Labrie, Pouliot, Larocque & Guiel, P.C.",,,,,,,
Lavinski Law Offices,,,,,,,
Law and Mediation Office of Oran E. Kaufman,,,,,,,
Law Firm of William Y. Christie,,,,,,,
Law Office Greg T Schubert,,,,,,,
Law Office of Alan Seewald,,,,,,,
Law Office of Albert Gordon,,,,,,,
Law Office of Alfred P. Chamberland,,,,,,,
Law Office of Andrea R. Reid,,,,,,,
Law Office Of Andrew D. Ott,,,,,,,
Law Office of Anthony Collins,,,,,,,
Law Office of Attorney,,,,,,,
Law Office of Attorney Stephen Ferrarone,,,,,,,
Law Office of Brandon A. Parrelli,,,,,,,
Law Office Of Brett J. Connolly,,,,,,,
Law Office of Brett Lampiasi,,,,,,,
Law Office of Brian Shea,,,,,,,
Law Office of Brittany J. Smith,,,,,,,
Law Office of Carey D. Lape,,,,,,,
Law Office of Caroline M. Murray,,,,,,,
Law Office of Christina M. Turgeon,,,,,,,
Law Office of Christine Tetreault,,,,,,,
Law Office of Christopher B. Myhrum,,,,,,,
Law Office of Damien J Martin,,,,,,,
Law Office of Daniel M. Sandell,,,,,,,
Law Office of Daniel Pava,,,,,,,
Law Office of David A. Keller,,,,,,,
"Law Office Of David M. Murphy, Esq.",,,,,,,
Law office of David W.  Sanborn,,,,,,,
Law Office of Dennis F. Desmarais,,,,,,,
Law Office of Eileen Sullivan-Boss,,,,,,,
Law Office of Elaine Pourinski,,,,,,,
Law Office of Eric Kornblum,,,,,,,
Law Office of Francis Bloom,,,,,,,
Law Office of Gregory A Wolf Esq.,,,,,,,
Law Office of Greta LaMountain Biagi,,,,,,,
Law Office of Jack Lapomardo,,,,,,,
Law Office of James J. Martin,,,,,,,
Law Office of Janet E. Glenn,,,,,,,
"Law Office of Jason M. Okai, P.C.",,,,,,,
Law Office of Jeffery S. Bohnet,,,,,,,
Law Office of Jessica Laclair,,,,,,,
Law Office of John E. Pearson,,,,,,,
"Law Office of John F Kavanagh, Jr PC",,,,,,,
Law Office of John L. Roberts,,,,,,,
"Law Office of John P. McKenna, P.C.",,,,,,,
Law Office of John T. Liebel,,,,,,,
Law Office of Joseph P. Harty,,,,,,,
Law Office of Justin R. McCarthy,,,,,,,
Law Office of Katherine Smith,,,,,,,
Law Office of Laura F. Arbeitman,,,,,,,
Law Office of Laura V. Glomb,,,,,,,
Law Office of Lisa M. Kling,,,,,,,
Law Office Of Marc A. Strange,,,,,,,
Law Office of Mary A. Socha,,,,,,,
"Law Office of Matthew S. Hutchinson, Esq.",,,,,,,
Law Office of Michael E Kokonowski,,,,,,,
"Law Office Of Michael O. Shea, P.C.",,,,,,,
Law Office of Nicholas J. Horgan,,,,,,,
"Law Office Of Perman Glenn III, P.C.",,,,,,,
Law Office of Peter Irvine,,,,,,,
Law Office of Peter L. Smith,,,,,,,
Law Office of Peter Vickery,,,,,,,
Law Office of Richard A. Habhab,,,,,,,
Law Office of Richard C Roth,,,,,,,
"Law Office of Richard R. Madore, P.C.",,,,,,,
Law Office Of Robert Huntington,,,,,,,
Law Office of Robert W. Shute,,,,,,,
Law Office of Sarah K. Willey,,,,,,,
Law Office of Stephen J. Buoniconti,,,,,,,
Law Office of Susan V.H. Degrave,,,,,,,
Law Office of Terence Mcginty,,,,,,,
Law Office of Thomas A. Bessette,,,,,,,
Law Office of Tyson R. Ence,,,,,,,
Law Office of Victor H Ascolillo,,,,,,,
Law Office of Walter A. Stewart,,,,,,,
Law Office of Walter Mclaughlin,,,,,,,
Law Office of William J. O'Neil,,,,,,,
"Law Office Thomas M. Libbos, P.C.",,,,,,,
"Law Office Thomas M. Libbos, P.C.",,,,,,,
Law Offices  of Michael J. Lukakis,,,,,,,
Law Offices of Alan S. Musgrave,,,,,,,
Law Offices of Alfred Geoffrion Jr.,,,,,,,
Law Offices of Arvett G. Bradford,,,,,,,
Law Offices of Carmina Fernandes,,,,,,,
Law Offices of Christine J. Lessing,,,,,,,
Law Offices of Christopher S. Todd,,,,,,,
Law Offices of Couture and Levine,,,,,,,
Law Offices of Cristobal and John C Bonifaz,,,,,,,
"Law Offices of David Brunelle, P.C.",,,,,,,
Law Offices of Deborah K. Saremi,,,,,,,
Law Offices of Donald W. Stolgitis,,,,,,,
Law Offices of Douglas J. Brunner,,,,,,,
Law Offices of Gina L. Cekala,,,,,,,
"Law Offices of Glenn D. Goodman, PC",,,,,,,
Law Offices of Helena S. Friedman,,,,,,,
Law Offices of James M. Smith,,,,,,,
Law Offices of Jeffrey B. Sagalyn,,,,,,,
"Law Offices of Jennifer A. Thorn, P.C.",,,,,,,
Law Offices of Jessica Claire Renze,,,,,,,
Law Offices Of John A. Odierna,,,,,,,
"Law Offices of John P. DiBartolo, Jr.",,,,,,,
Law Offices of Joseph A. Franco,,,,,,,
Law Offices of Joseph R. White,,,,,,,
Law Offices of Kathleen A. Sandman,,,,,,,
Law Offices of Kathryn M. Parakilas PC,,,,,,,
Law Offices of Mark A. Papirio,,,,,,,
Law Offices of Mark E. Salomone,,,,,,,
Law Offices of Mark E. Salomone,,,,,,,
"Law Offices of Mark R. Draymore, LLC",,,,,,,
Law Offices of Marvin Cable,,,,,,,
Law Offices Of Mary Paier Powers,,,,,,,
Law Offices Of Michael T. Kogut,,,,,,,
Law Offices of Mickey E. Harris,,,,,,,
Law Offices of Patricia Hebert,,,,,,,
Law Offices of Perman Glenn III,,,,,,,
Law Offices of Peter Slepchuk,,,,,,,
Law Offices of Peter Slepchuk,,,,,,,
Law Offices of Philip H. Lauro,,,,,,,
"Law Offices of Robert J. Rzeszutek, P.C.",,,,,,,
Law Offices of Sarah A. Miller,,,,,,,
Law Offices of Shawn M. O'Connor,,,,,,,
Law Offices of Steven J. O'Neill,,,,,,,
Law Offices of Steven Weisman,,,,,,,
Law Offices of Terrence A. Low and Anthony J Canata,,,,,,,
Law Offices of Thomas A. Kenefick III,,,,,,,
"Law Offices of Thomas A. Kokonowski, Esq.",,,,,,,
Law Offices of Thomas M. Libbos,,,,,,,
Law Offices of Warren R. Thompson,,,,,,,
Law Offices of William E. Fallon,,,,,,,
Law Offices of William J Fennell PC,,,,,,,
Law_Firm_Name,,,,,,,
Lazan Glover & Puciloski,,,,,,,
"Legacy Counsellors, P.C.",,,,,,,
Leslie Mclellan Brown,,,,,,,
"Lesser, Newman & Nasser LLP",,,,,,,
Lewis Brisbois Bisgaard & Smith LLP,,,,,,,
"LInda A. Condino, Attorney at Law",,,,,,,
"Linda J. Moye, Esq.",,,,,,,
"Longmeadow Legal Associates, P.C.",,,,,,,
"Lyon & Fitzpatrick, LLP",,,,,,,
MacKinnon Law Offices,,,,,,,
Marie P Grady Esq.,,,,,,,
"Marien & Hodge, P.C.",,,,,,,
"Marinosci Law Group, P.C.",,,,,,,
"Marissa Elkins, Attorney at Law",,,,,,,
Marlene Morin,,,,,,,
Marta Law Offices,,,,,,,
Martinelli Dicenza,,,,,,,
"Mary K. Eaton, Attorney At Law",,,,,,,
Mass Mutual Life Ins Co,,,,,,,
Massachusetts Commission Against Discrimination,,,,,,,
Massachusetts Dept. of Environmental Protection,,,,,,,
Massachusetts Mutual Life Insurance Co.,,,,,,,
Massachusetts Mutual Life Insurance Company,,,,,,,
Massmutual Financial Group,,,,,,,
Massmutual Life Insurance Company,,,,,,,
"Matthieu J. Massengill, P.C.",,,,,,,
Mayer Brown Rowe & Maw,,,,,,,
Mazard Law Group,,,,,,,
Melanie S Lewis,Melanie S Lewis,,,,,,
Melnik Law Offices,,,,,,,
"Mestek, Inc.",,,,,,,
"Michelman & Bricker, P.C.",,,,,,,
Michelman Law Offices,,,,,,,
Miranda Law Offices,,,,,,,
Moir & Ross,,,,,,,
"Moriarty & Wilson, P.C.",,,,,,,
"Moriarty Law Firm, Inc.",,,,,,,
Morisi & O'Connell,,,,,,,
Morrison Mahoney LLP,,,,,,,
Mount Holyoke Management LLC,,,,,,,
Mulberry Law Group,,,,,,,
Mulholland & Desousa,,,,,,,
Multicultural Resource Center of Massachusetts,,,,,,,
"Murphy & Manitsas, LLP",,,,,,,
Murphy Mccoubrey,,,,,,,
Nancy Jane Murphy,,,,,,,
"Neil C. Darragh, Esq.",,,,,,,
Nejame & Kling Law Offices,,,,,,,
"Nicoletti & Brown, LLP.",,,,,,,
Northeast Law Group,,,,,,,
Northwestern County District Attorney's Office,,,,,,,
Northwestern District Attorney's Office,,,,,,,
Novak & Agnoli,,,,,,,
Nykorchuk Law Office,,,,,,,
"O'Connell, Attmore & Morris, LLC",,,,,,,
O'Connor Martinelli,,,,,,,
O'Donald Law Offices,,,,,,,
Office of Congressman Richard E Neal,,,,,,,
Office of The Attorney General,,,,,,,
"Olin & Lippiello, LLP",,,,,,,
Orlen & Goldman,,,,,,,
Ostrander Law Office,,,,,,,
Parker & O'Grady,,,,,,,
Parker Law Firm,,,,,,,
"Parks & Pearson, LLC",,,,,,,
"Patricia A. Zak, Attorney",,,,,,,
Patryn Law Office,,,,,,,
Paul G. Lalonde,,,,,,,
Pease & Shortz PC,,,,,,,
"Pellegrini, Seeley, Ryan & Blakesley, P.C.",,,,,,,
Peoplesbank,,,,,,,
"Perlstein Sandler & McCracken, LLC",,,,,,,
"Peskin, Courchesne & Allen, P.C.",,,,,,,
"Pessolano, Dusel, Murphy & Casartello, P.C.",,,,,,,
"Peter T. Lane, Esq.",,,,,,,
"Pollard & Pollard, PC",,,,,,,
Powers & Liquori,,,,,,,
"PRESLEY LAW, PLLC",,,,,,,
Pride Stores LLC,,,,,,,
"Raipher D. Pellegrino Associates, P.C.",,,,,,,
"Raipher, P.C.",,,,,,,
Rathbun & Ciccarelli,,,,,,,
Raymond A. Blanchette Esq.,,,,,,,
Raymond L. Wellspeak,,,,,,,
"Reall, Lucentini & Lucentini LLP",,,,,,,
Record Title and Law Offices of Stanley D. Komack,,,,,,,
Renee S. Wetstein,,,,,,,
"Rescia & Shear, LLP",,,,,,,
Resnic Beauregard Waite & Driscoll,,,,,,,
"Reynolds & Werman, LLC",,,,,,,
Richard Pelletier,,,,,,,
Riddell and Riddell,,,,,,,
Robert Fortgang Associates,,,,,,,
"Robin Freedman Luberoff, Esq.",,,,,,,
"Robinson & Rodriguez-Ross, LLC",,,,,,,
Robinson Donovan,,,,,,,
"Roseann Mcgurrin, Esq.",,,,,,,
Rosen Leff Attorney,,,,,,,
Ross & Ross PC,,,,,,,
"Roumeliotis Law Group, P.C.",,,,,,,
Royal LLP,,,,,,,
"Royal, P.C.",,,,,,,
"Russell J. Mawdsley, Esq.",,,,,,,
"Ryan & Boudreau, LLP",,,,,,,
"Sabella Hogan, P.C.",,,,,,,
Santaniello & Santaniello LLC,,,,,,,
"Sapirstein & Sapirstein, P.C.",,,,,,,
"Sasson, Turnbull, Ryan & Hoose",,,,,,,
Schmidt & Sikes PC,,,,,,,
Seabury & Brown,,,,,,,
Secretary of The Commonwealth,,,,,,,
Seth Wilson,,,,,,,
"Shatz, Schwartz and Fentin, P.C.",,,,,,,
Siddall & Siddall PC,,,,,,,
SIMPSON THACHER & BARTLETT LLP,,,,,,,
Sm Reilly Associates Lcc,,,,,,,
Soja & Abbott,,,,,,,
"Solid Rep, Ltd.  Intellectual Property",,,,,,,
Solo Practicioner,,,,,,,
Springfield College,,,,,,,
Stapleton and Stapleton,,,,,,,
"Stephen H. Newman, Esq.",,,,,,,
"Stephen J. Ransford, Esq.",,,,,,,
Stephen R Manning PC,,,,,,,
"Stephen Spelman, Egan, Flanagan and Cohen, P.C.",,,,,,,
Stewart Title Guaranty Company,,,,,,,
"Stuart Weissman, Esq.",,,,,,,
Student Legal Services Office,,,,,,,
"Sullivan & Brill, LLP",,,,,,,
"Susan M. Moran, Esquire",,,,,,,
"Szumowski Law, P.C.",,,,,,,
The H B Smith Co Inc,,,,,,,
The Law Office of Andrew P. Bass,,,,,,,
"The Law Office of Holly L. Lewis, P.C.",,,,,,,
"The Law Office of Jackson & Torrone, P.C.",,,,,,,
The Law Office of Joe A Smith III,,,,,,,
"The Law Office of Kathleen F. O'Sullivan, LLC",,,,,,,
The Law Office of Madeline Weaver Blanchette,,,,,,,
The Law Office of Rachel Rothman,,,,,,,
The Law Office of Richard T O'Connor LLC,,,,,,,
"The Law Office of Ronda G Parish, PC",,,,,,,
The Law Office of Scott M. Hibbert,,,,,,,
The Law Office of William J. O'Neil,,,,,,,
"The Law Offices of Charles K. Bergin, Jr.",,,,,,,
"The Law Offices of David J. Lemasa, PC",,,,,,,
The Law Offices of Jason R. Herrick,,,,,,,
"The Law Offices of Jennifer A. Thorn, P.C.",,,,,,,
The Law Offices of Maurice Caston Powe,,,,,,,
The Law Offices of Nancy Ramos,,,,,,,
The Law Offices of Randy J. Milou,,,,,,,
The Law Offices of Sean J. Cleary,,,,,,,
The Linux Foundation,,,,,,,
Theodore,,,,,,,
"Thomas A. Kenefick, III, P.C.",,,,,,,
Thomas G Costello,,,,,,,
Thomas P. Vincent,,,,,,,
Thomas Whitney Attorney at Law,,,,,,,
Thompson & Thompson PC,,,,,,,
"Tracy Duncan, Attorney At Law",,,,,,,
"Trey Inman & Associates, P.C.",,,,,,,
Tyler S. Kimball Attorney At Law,,,,,,,
"United Healthgroup, Inc",,,,,,,
United States Attorney's Office,,,,,,,
United States District Court,,,,,,,
University of Massachusetts,,,,,,,
USDA Rural Development,,,,,,,
"Utca, Inc.",,,,,,,
Valerie J. Botter,,,,,,,
Valley Mediation,,,,,,,
Vargo Law Office,,,,,,,
Victor M. Anop,,,,,,,
Waldman and Waldman,,,,,,,
"Weinberg & Garber, P.C.",,,,,,,
Weiner & Lange PC,,,,,,,
"Weiner Law Firm, P.C.",,,,,,,
"Welch & Barba, P.C.",,,,,,,
Welch Law Offices,,,,,,,
Western New England University,,,,,,,
"Wilhelm, Shimel & King",,,,,,,
"Woods Law Office, LLC",,,,,,,
Xanthakos & Malkovich,,,,,,,
Ziomek & Ziomek,,,,,,,
"Zoe Zeichner, Esq.",,,,,,,
"Zurn, Sharp & Heyman LLP",,,,,,,